Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,N/A,FH 2,FH 3,Demo flights,logistics,Crewed missions,Commercial satellites,Scientific satellites,Military satellites,Rideshares,Current,In development,Retired,Cancelled,Spacecraft,Cargo,Crewed,Test vehicles,Unflown,Orbital,Atmospheric,Landing sites,Other facilities,Support,Contracts,R&D programs,Key people,Related,General,People,Vehicles,Launches by rocket type,Launches by spaceport,"Agencies, companies and facilities",Other mission lists and timelines,Version Booster,Booster landing,Date,Time
62,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048.2,Success,8 October 2018,8 October 2018
63,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1047.2,Success,15 November 2018,15 November 2018
64,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1046.3,Success,3 December 2018,3 December 2018
65,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Failure,5 December 2018,5 December 2018
66,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,No attempt,23 December 2018,23 December 2018
67,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.2,Success,11 January 2019,11 January 2019
68,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1048.3,Success,22 February 2019,22 February 2019
69,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5[268],Success,2 March 2019,2 March 2019
70,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5,Success,4 May 2019,4 May 2019
71,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1049.3,Success,24 May 2019,24 May 2019
72,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F9 B5B1051.2,Success,12 June 2019,12 June 2019
